Province/State,Country/Region,Lat,Long,ISO 3166-1 Alpha 3-Codes,Sub-region Name,Intermediate Region Code,Date,Deaths,Cases,Recovered,Hospitalised,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,12/06/2020,0,3,3,534,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,13/06/2020,0,3,3,519,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,14/06/2020,0,3,3,515,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,15/06/2020,0,3,3,511,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,16/06/2020,0,3,3,511,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,17/06/2020,0,3,3,495,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,18/06/2020,0,3,3,479,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,19/06/2020,0,3,3,463,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,20/06/2020,0,3,3,446,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,21/06/2020,0,3,3,443,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,22/06/2020,0,3,3,450,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,23/06/2020,0,3,3,434,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,24/06/2020,0,3,3,423,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,25/06/2020,0,3,3,404,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,26/06/2020,0,3,3,380,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,27/06/2020,0,3,3,372,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,28/06/2020,0,3,3,373,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,29/06/2020,0,3,3,394,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,30/06/2020,0,3,3,355,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,01/07/2020,0,3,3,336,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,02/07/2020,0,3,3,323,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,03/07/2020,0,3,3,309,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,04/07/2020,0,3,3,294,,,
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,05/07/2020,0,3,3,288,,,
